Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,EFF
1,Giannis Antetokounmpo,30,MIL,PF,5,5,37.6,12.0,19.8,60.6,0.2,1.0,20.0,11.8,18.8,62.8,61.1,8.8,12.6,69.8,3.8,11.6,15.4,6.6,1.0,1.0,4.6,2.4,33.0,,38.4
2,Luka Dončić,25,LAL,PG,5,5,41.6,9.4,20.8,45.2,3.2,9.2,34.8,6.2,11.6,53.400000000000006,52.900000000000006,8.2,9.2,89.1,0.4,6.6,7.0,5.8,1.0,0.6,4.0,3.2,30.2,,25.0
3,Shai Gilgeous-Alexander,26,OKC,PG,23,23,37.0,10.1,21.9,46.2,1.4,4.9,28.3,8.7,17.0,51.4,49.4,8.3,9.4,87.6,1.0,4.3,5.3,6.5,1.7,0.9,2.6,2.8,29.9,Finals MVP-1,26.0
4,Donovan Mitchell,28,CLE,SG,9,9,32.0,9.6,21.6,44.3,3.1,9.3,33.300000000000004,6.4,12.2,52.7,51.5,7.3,9.9,74.2,1.2,3.4,4.7,3.9,1.9,0.3,1.9,2.0,29.6,,21.899999999999995
5,Paolo Banchero,22,ORL,PF,5,5,39.4,10.8,24.8,43.5,2.4,5.4,44.4,8.4,19.4,43.3,48.4,5.4,8.2,65.9,2.4,6.0,8.4,4.2,0.6,0.8,3.0,3.6,29.4,,20.0
6,Jalen Brunson,28,NYK,PG,18,18,37.8,10.1,21.8,46.1,2.7,7.4,35.8,7.4,14.4,51.4,52.2,6.7,7.8,85.1,0.7,2.8,3.4,7.0,0.4,0.3,3.1,3.3,29.4,,21.29999999999999
7,Jayson Tatum,26,BOS,PF,8,8,40.3,9.3,21.9,42.3,3.6,9.8,37.2,5.6,12.1,46.400000000000006,50.6,6.0,6.8,88.9,1.1,10.4,11.5,5.4,2.1,0.8,3.3,2.6,28.1,,28.599999999999998
8,Nikola Jokić,29,DEN,C,14,14,40.2,9.4,19.1,48.9,1.9,5.1,38.0,7.4,14.1,52.8,53.900000000000006,5.6,7.2,77.2,2.1,10.6,12.7,8.0,2.0,0.9,3.9,3.4,26.2,,31.199999999999996
9,Franz Wagner,23,ORL,SF,5,5,39.0,10.2,23.0,44.3,1.4,7.4,18.9,8.8,15.6,56.39999999999999,47.4,4.0,5.2,76.9,0.6,4.2,4.8,5.6,1.2,0.4,2.0,3.2,25.8,,18.600000000000005
10,LeBron James,40,LAL,SF,5,5,40.8,8.6,17.6,48.9,2.0,5.6,35.7,6.6,12.0,55.00000000000001,54.50000000000001,6.2,8.0,77.5,2.4,6.6,9.0,5.6,2.0,1.8,2.6,1.6,25.4,,28.799999999999994
11,Anthony Edwards,23,MIN,SG,15,15,39.0,9.0,19.9,45.3,3.1,8.7,35.4,5.9,11.2,53.0,53.0,4.3,5.9,71.89999999999999,1.2,6.6,7.8,5.5,1.1,0.7,2.6,2.1,25.3,,23.200000000000006
12,Cade Cunningham,23,DET,PG,6,6,41.3,9.2,21.5,42.6,0.8,4.7,17.9,8.3,16.8,49.5,44.6,5.8,7.0,83.3,1.0,7.3,8.3,8.7,1.8,1.3,5.3,3.3,25.0,,22.999999999999996
13,Kawhi Leonard,33,LAC,SF,7,7,37.9,9.4,17.6,53.7,2.1,5.3,40.5,7.3,12.3,59.3,59.8,4.0,5.1,77.8,1.6,6.0,7.6,4.7,1.1,0.7,2.1,1.7,25.0,,26.000000000000007
